node1,node2,weight,time1,time2
2,2,0.94915,1,2
1,1,0.94253,1,2
2,1,0.010929,2,3
1,1,0.91111,2,3
2,2,0.88,2,3
2,2,0.86905,3,4
1,1,0.89,3,4
2,2,0.89941,4,5
1,1,0.89908,4,5
2,1,0.0096618,5,6
1,1,0.93103,5,6
2,2,0.90244,5,6
1,3,0.2875,6,7
2,3,0.034188,6,7
2,2,0.83444,6,7
1,1,0.8,6,7
3,3,0.69725,7,8
2,3,0.013986,7,8
1,3,0.21384,7,8
2,2,0.76543,7,8
1,2,0.067416,7,8
3,1,0.04,7,8
1,1,0.77333,7,8
3,1,0.073394,8,9
1,1,0.7,8,9
3,3,0.82051,8,9
2,3,0.034286,8,9
1,3,0.13605,8,9
2,2,0.83243,8,9
1,2,0.025478,8,9
1,1,0.45783,9,10
3,1,0.35385,9,10
1,2,0.082759,9,10
2,2,0.87129,9,10
1,3,0.1746,9,10
3,3,0.72832,9,10
1,3,0.046154,10,11
2,3,0.09375,10,11
3,3,0.77457,10,11
1,1,0.6506,10,11
3,1,0.19048,10,11
1,2,0.13605,10,11
2,2,0.8134,10,11
1,1,0.74627,11,12
1,2,0.013889,11,12
2,2,0.94231,11,12
3,3,0.90052,11,12
1,3,0.13889,11,12
3,4,0.4,12,13
1,2,0.35294,12,13
2,2,0.8,12,13
2,3,0.010929,12,13
3,3,0.7541,12,13
4,4,0.55814,13,14
3,4,0.083333,13,14
2,3,0.0097561,13,14
3,3,0.88608,13,14
2,5,0.13333,13,14
4,2,0.1374,13,14
2,2,0.81385,13,14
4,3,0.038835,14,15
3,3,0.8,14,15
5,3,0.084211,14,15
4,2,0.16949,14,15
2,2,0.83495,14,15
3,3,0.76821,15,16
3,6,0.10638,15,16
3,2,0.03125,15,16
2,2,0.87923,15,16
6,2,0.13445,16,17
2,2,0.86636,16,17
3,3,0.80916,16,17
2,7,0.2,17,18
3,3,0.89552,17,18
2,2,0.89,17,18
7,2,0.31944,18,19
2,2,0.84314,18,19
3,3,0.89041,18,19
2,2,0.94323,19,20
3,3,0.90123,19,20
3,3,0.91228,20,21
2,2,0.92377,20,21
2,2,0.93396,21,22
3,3,0.87912,21,22
3,3,0.91457,22,23
2,2,0.89855,22,23
3,2,0.0097087,23,24
2,2,0.91262,23,24
3,3,0.92453,23,24
2,2,0.87255,24,25
3,3,0.92793,24,25
2,2,0.84878,25,26
3,8,0.098361,25,26
2,3,0.053097,25,26
3,3,0.86555,25,26
2,3,0.020725,26,27
3,3,0.68224,26,27
2,2,0.9009,26,27
8,2,0.12598,26,27
3,2,0.032922,26,27
3,9,0.46341,26,27
2,2,0.85837,27,28
9,2,0.14286,27,28
3,3,0.86598,27,28
2,3,0.044843,27,28
9,3,0.055556,27,28
3,9,0.034483,27,28
9,9,0.60606,27,28
2,3,0.018605,28,29
3,3,0.89756,28,29
2,2,0.84483,28,29
3,2,0.018018,28,29
9,2,0.22222,28,29
3,10,0.037736,28,29
3,3,0.93,29,30
2,3,0.02765,29,30
3,2,0.018957,29,30
2,2,0.89474,29,30
10,2,0.035714,29,30
3,3,0.87437,30,31
2,3,0.019048,30,31
3,2,0.027907,30,31
2,2,0.84071,30,31
2,2,0.9386,31,32
3,3,0.9,31,32
2,2,0.84906,32,33
2,11,0.016667,32,33
3,11,0.055556,32,33
3,3,0.90732,32,33
2,12,0.16393,32,33
2,2,0.81675,33,34
11,2,0.12121,33,34
3,3,0.81564,33,34
12,3,0.02381,33,34
11,13,0.16,33,34
3,13,0.18033,33,34
2,14,0.21935,33,34
3,14,0.1375,33,34
12,14,0.27692,33,34
